geo,time,income_per_person_gdppercapita_ppp_inflation_adjusted
afg,1800,603
afg,1801,603
afg,1802,603
afg,1803,603
afg,1804,603
afg,1805,603
afg,1806,603
afg,1807,603
afg,1808,603
afg,1809,603
afg,1810,604
afg,1811,604
afg,1812,604
afg,1813,604
afg,1814,604
afg,1815,604
afg,1816,604
afg,1817,604
afg,1818,604
afg,1819,604
afg,1820,604
afg,1821,607
afg,1822,609
afg,1823,611
afg,1824,613
afg,1825,615
afg,1826,617
afg,1827,619
afg,1828,621
afg,1829,623
afg,1830,625
afg,1831,627
afg,1832,630
afg,1833,632
afg,1834,634
afg,1835,636
afg,1836,638
afg,1837,640
afg,1838,643
afg,1839,645
afg,1840,647
afg,1841,649
afg,1842,651
afg,1843,654
afg,1844,656
afg,1845,658
afg,1846,660
afg,1847,663
afg,1848,665
afg,1849,667
afg,1850,669
afg,1851,672
afg,1852,674
afg,1853,676
afg,1854,678
afg,1855,681
afg,1856,683
afg,1857,685
afg,1858,688
afg,1859,690
afg,1860,692
afg,1861,695
afg,1862,697
afg,1863,699
afg,1864,702
afg,1865,704
afg,1866,707
afg,1867,709
afg,1868,711
afg,1869,714
afg,1870,716
afg,1871,719
afg,1872,721
afg,1873,724
afg,1874,726
afg,1875,729
afg,1876,731
afg,1877,734
afg,1878,736
afg,1879,739
afg,1880,741
afg,1881,744
afg,1882,746
afg,1883,749
afg,1884,751
afg,1885,754
afg,1886,756
afg,1887,759
afg,1888,761
afg,1889,764
afg,1890,767
afg,1891,769
afg,1892,772
afg,1893,774
afg,1894,777
afg,1895,780
afg,1896,782
afg,1897,785
afg,1898,788
afg,1899,790
afg,1900,793
afg,1901,796
afg,1902,798
afg,1903,801
afg,1904,804
afg,1905,807
afg,1906,809
afg,1907,812
afg,1908,815
afg,1909,818
afg,1910,820
afg,1911,823
afg,1912,826
afg,1913,829
afg,1914,833
afg,1915,837
afg,1916,841
afg,1917,845
afg,1918,849
afg,1919,853
afg,1920,857
afg,1921,862
afg,1922,868
afg,1923,874
afg,1924,879
afg,1925,885
afg,1926,890
afg,1927,896
afg,1928,902
afg,1929,908
afg,1930,913
afg,1931,919
afg,1932,925
afg,1933,931
afg,1934,937
afg,1935,943
afg,1936,949
afg,1937,955
afg,1938,961
afg,1939,967
afg,1940,973
afg,1941,979
afg,1942,985
afg,1943,991
afg,1944,997
afg,1945,1004
afg,1946,1010
afg,1947,1016
afg,1948,1022
afg,1949,1029
afg,1950,1035
afg,1951,1050
afg,1952,1069
afg,1953,1116
afg,1954,1122
afg,1955,1125
afg,1956,1155
afg,1957,1134
afg,1958,1176
afg,1959,1187
afg,1960,1206
afg,1961,1192
afg,1962,1188
afg,1963,1185
afg,1964,1182
afg,1965,1182
afg,1966,1168
afg,1967,1173
afg,1968,1187
afg,1969,1178
afg,1970,1174
afg,1971,1092
afg,1972,1046
afg,1973,1137
afg,1974,1170
afg,1975,1201
afg,1976,1231
afg,1977,1119
afg,1978,1179
afg,1979,1155
afg,1980,1158
afg,1981,1284
afg,1982,1402
afg,1983,1454
afg,1984,1429
afg,1985,1384
afg,1986,1486
afg,1987,1230
afg,1988,1113
afg,1989,1087
afg,1990,1028
afg,1991,1022
afg,1992,941
afg,1993,810
afg,1994,725
afg,1995,872
afg,1996,895
afg,1997,921
afg,1998,947
afg,1999,972
afg,2000,962
afg,2001,862
afg,2002,1053
afg,2003,1097
afg,2004,1067
afg,2005,1146
afg,2006,1173
afg,2007,1298
afg,2008,1311
afg,2009,1548
afg,2010,1637
afg,2011,1695
afg,2012,1893
afg,2013,1884
afg,2014,1877
afg,2015,1925
afg,2016,1996
afg,2017,2062
afg,2018,2137
afg,2019,2203
afg,2020,2275
afg,2021,2349
afg,2022,2428
afg,2023,2508
afg,2024,2589
afg,2025,2670
afg,2026,2755
afg,2027,2841
afg,2028,2928
afg,2029,3017
afg,2030,3108
afg,2031,3200
afg,2032,3294
afg,2033,3390
afg,2034,3487
afg,2035,3586
afg,2036,3686
afg,2037,3788
afg,2038,3891
afg,2039,3995
afg,2040,4101
alb,1800,667
alb,1801,667
alb,1802,668
alb,1803,668
alb,1804,668
alb,1805,668
alb,1806,668
alb,1807,668
alb,1808,668
alb,1809,668
alb,1810,668
alb,1811,668
alb,1812,669
alb,1813,669
alb,1814,669
alb,1815,669
alb,1816,669
alb,1817,669
alb,1818,669
alb,1819,669
alb,1820,669
alb,1821,671
alb,1822,672
alb,1823,674
alb,1824,676
alb,1825,677
alb,1826,679
alb,1827,680
alb,1828,682
alb,1829,683
alb,1830,685
alb,1831,686
alb,1832,688
alb,1833,689
alb,1834,691
alb,1835,693
alb,1836,694
alb,1837,696
alb,1838,697
alb,1839,699
alb,1840,701
alb,1841,702
alb,1842,704
alb,1843,705
alb,1844,707
alb,1845,709
alb,1846,710
alb,1847,712
alb,1848,713
alb,1849,715
alb,1850,717
alb,1851,718
alb,1852,720
alb,1853,722
alb,1854,723
alb,1855,725
alb,1856,727
alb,1857,728
alb,1858,730
alb,1859,731
alb,1860,733
alb,1861,735
alb,1862,736
alb,1863,738
alb,1864,740
alb,1865,742
alb,1866,743
alb,1867,745
alb,1868,747
alb,1869,748
alb,1870,750
alb,1871,761
alb,1872,773
alb,1873,784
alb,1874,796
alb,1875,808
alb,1876,820
alb,1877,832
alb,1878,844
alb,1879,857
alb,1880,870
alb,1881,882
alb,1882,896
alb,1883,909
alb,1884,922
alb,1885,936
alb,1886,950
alb,1887,964
alb,1888,979
alb,1889,993
alb,1890,1008
alb,1891,1022
alb,1892,1036
alb,1893,1051
alb,1894,1065
alb,1895,1080
alb,1896,1095
alb,1897,1110
alb,1898,1125
alb,1899,1141
alb,1900,1157
alb,1901,1172
alb,1902,1188
alb,1903,1203
alb,1904,1219
alb,1905,1236
alb,1906,1252
alb,1907,1269
alb,1908,1285
alb,1909,1302
alb,1910,1320
alb,1911,1342
alb,1912,1365
alb,1913,1389
alb,1914,1406
alb,1915,1424
alb,1916,1442
alb,1917,1460
alb,1918,1479
alb,1919,1498
alb,1920,1516
alb,1921,1535
alb,1922,1554
alb,1923,1572
alb,1924,1591
alb,1925,1610
alb,1926,1629
alb,1927,1647
alb,1928,1666
alb,1929,1685
alb,1930,1696
alb,1931,1707
alb,1932,1717
alb,1933,1728
alb,1934,1738
alb,1935,1748
alb,1936,1758
alb,1937,1768
alb,1938,1778
