"geo","time","population","gdp_p_cap_const_ppp2011_dollar","gini","fertility_rate"
"abkh",2014,,,40,
"abw",2014,103441,36447,40,1.67
"afg",2014,31627506,1877,36.6375471365,4.68
"ago",2014,24227524,7546,43.5,5.75
"aia",2014,14460,,40,
"akr_a_dhe",2014,,,40,
"alb",2014,2889676,10160,43.6684287705,1.78
"and",2014,72786,44929,40,
"ant",2014,,,40,1.88
"arg",2014,42980026,17519,46.66,2.16
"arm",2014,3006154,7763,55.5066413879,1.42
"asm",2014,55434,,40,
"atg",2014,90900,20797,40,2.08
"aus",2014,23622353,43219,44.2197274074,1.88
"aut",2014,8516916,43906,34.7,1.48
"aze",2014,9629779,16710,43.5,1.91
"bdi",2014,10816860,758,33.27,5.94
"bel",2014,11226322,40885,31.81496753,1.86
"ben",2014,10598482,1779,43.5,4.77
"bfa",2014,17589198,1606,50.06613,5.52
"bgd",2014,159077513,2991,47.19861,2.15
"bgr",2014,7201308,16048,49.05499,1.56
"bhr",2014,1361930,43963,43.5,2.05
"bhs",2014,383054,22439,43.5,1.88
"bih",2014,3817554,9516,40,1.3
"blr",2014,9500422,17349,35.17899,1.5
"blz",2014,351706,8418,40,2.64
"bmu",2014,62376,48728,40,
"bol",2014,10561887,6153,43.5,3.18
"bra",2014,206077898,15412,61.2,1.79
"brb",2014,283380,12829,43.5,1.85
"brn",2014,417394,72219,35,1.98
"btn",2014,765008,7500,40,2.19
"bwa",2014,2219937,16725,58.6401804336,2.58
"caf",2014,4804316,578,56.3,4.28
"can",2014,35587793,42817,41.0614293446,1.68
"cck",2014,,,40,
"chanisl",2014,162917,,40,1.47
"cheslo",2014,,,40,
"chl",2014,17762647,21967,51.33759,1.81
"chn",2014,1369435670,12609,44.43417,1.56
"civ",2014,22157107,3324,51.30824,4.82
"cmr",2014,22773014,2829,51.25321,4.7
"cod",2014,74877030,768,44,5.83
"cog",2014,4504962,5905,43.5,4.92
"cok",2014,20725,,40,
"col",2014,47791393,12447,57.4,2.26
"com",2014,769991,1459,63.79504,4.65
"cpv",2014,513906,6343,43.5,2.26
"cri",2014,4757606,13713,43.5,1.78
"cub",2014,11379111,20704,43.5,1.45
"cxr",2014,,,40,
"cym",2014,59172,49118,40,
"cyp",2014,1153658,29673,35,1.46
"cyp_nor",2014,,,40,
"cze",2014,10542666,28695,31.34014,1.58
"deu",2014,80646262,43444,47.2661296829,1.43
"deu_east",2014,,,40,
"dji",2014,876174,3016,43.5,3.32
"dma",2014,72341,10207,40,
"dnk",2014,5646899,42777,39.2,1.88
"dom",2014,10405943,12505,43.5,2.45
"dza",2014,38934334,13179,42.48379,2.76
"ecu",2014,15902916,10774,43.5,2.53
"egy",2014,89579670,10792,35.2141911337,2.73
"eri",2014,5110444,1140,40,4.61
"eri_a_eth",2014,,,40,
"est",2014,1316203,25865,38.12853,1.61
"eth",2014,96958732,1432,47.06577,4.4
"fin",2014,5479660,38569,27.4,1.85
"fji",2014,886450,7735,43.5,2.56
"flk",2014,2891,,40,
"fra",2014,64121249,37218,37.2396329942,1.98
"fro",2014,48221,,40,
"fsm",2014,104044,3475,40,3.24
"gab",2014,1687673,17912,41.79365,4.03
"gbg",2014,,,40,
"gbm",2014,87127,,40,
"geo",2014,4034774,7233,48.91344,1.82
"gha",2014,26786598,3953,41.51118,3.8
"gib",2014,31997,,40,
"gin",2014,12275527,1179,38.56784,4.83
"glp",2014,466100,,40,2.07
"gmb",2014,1928201,1555,43.5,5.72
"gnb",2014,1800513,1363,38.74488,4.87
"gnq",2014,820885,30783,43.5,4.75
"grc",2014,11000777,24502,33.4,1.54
"grd",2014,106349,11400,40,2.15
"grl",2014,56211,27216,40,
"gtm",2014,16015494,7181,55.89,3.72
"guf",2014,261466,,40,3.03
"gum",2014,167543,,40,2.38
"guy",2014,763893,6545,43.24,2.5
"hkg",2014,7226869,52552,43.4501243374,1.15
"hnd",2014,7961680,4214,58.76,2.95
"hos",2014,799,,40,
"hrv",2014,4255853,20060,39.32527,1.51
"hti",2014,10572029,1670,50.11135,3.09
"hun",2014,9889540,23609,29.2208,1.43
"idn",2014,254454778,10099,50,2.31
"ind",2014,1295291543,5565,47.3951125139,2.45
"irl",2014,4675164,46633,45.2131483249,2
"irn",2014,78143644,15573,43.44113,1.92
"irq",2014,35273293,14018,39.3621,3.97
"isl",2014,327318,41237,30,2.07
"isr",2014,7939483,31180,48.9395130745,2.88
"ita",2014,59788667,33078,36.71773,1.5
"jam",2014,2783301,8462,43.24268,2.24
"jey",2014,,,40,
"jor",2014,7416083,11496,43.45407,3.18
"jpn",2014,126794564,35635,33.2731950357,1.43
"kaz",2014,17371621,23092,31.19789,2.43
"ken",2014,44863583,2776,51.14705,4.31
"kgz",2014,5843617,3169,37.2,3.07
"khm",2014,15328136,3093,43.5,2.83
"kir",2014,110470,1822,40,2.92
"kna",2014,,21688,40,
"kor",2014,50074401,33629,37.2,1.34
"kos",2014,,8810,40,
"kwt",2014,3753121,83394,43.5,2.58
"lao",2014,6689300,4925,41.58851,2.94
"lbn",2014,5612096,16794,38.6341463415,1.49
"lbr",2014,4396554,934,43.5,4.72
"lby",2014,6258984,14887,43.5,2.3
"lca",2014,,9917,40,1.89
"lie",2014,37286,,40,
"lso",2014,2109197,2494,43.5,2.99
"ltu",2014,2916798,25708,41.6515,1.53
"lux",2014,556573,88203,40,1.68
"lva",2014,1989354,22460,42.16743,1.62
"mac",2014,577914,142893,40,1.11
"mar",2014,33921203,7040,46.03109,2.74
"mco",2014,37623,61738,40,
"mda",2014,4072340,4754,35.4,1.45
"mdg",2014,23571713,1371,44.11,4.41
"mdv",2014,357415,14095,40,2.22
"mex",2014,125385833,16496,46.76,2.16
"mhl",2014,52898,3638,40,
"mkd",2014,2075625,12096,45.84,1.43
"mli",2014,17086022,1653,33.02,6.83
"mlt",2014,417723,29508,40,1.35
"mmr",2014,53437159,3727,44.27483,1.92
"mne",2014,625292,14358,40,1.66
"mng",2014,2909871,11509,43.5,2.42
"mnp",2014,54541,,40,
"moz",2014,27216276,1115,51.60102,5.11
"mrt",2014,3969625,3718,43.5,4.61
"msr",2014,5094,,40,
"mtq",2014,396176,,40,1.82
"mus",2014,1268567,17731,40.9960637,1.5
"mwi",2014,16695253,778,39.40953,5.31
"mys",2014,29901997,23579,48.89753,1.95
"myt",2014,233635,,40,3.72
"nam",2014,2402858,9506,63.9,3
"ncl",2014,259800,,40,2.11
"ner",2014,19113728,923,34.55,7.54
"nfk",2014,,,40,
"nga",2014,177475986,5607,51.15548,5.94
"ngokar",2014,,,40,
"nic",2014,6013913,4574,43.5,2.46
"niu",2014,1610,,40,
"nld",2014,16868020,45281,32.0505047549,1.78
"nor",2014,5147970,64020,30.5029422,1.93
"npl",2014,28174724,2265,40.3122013965,2.23
"nru",2014,10176,15227,40,
"nzl",2014,4495482,33538,37.3960086811,2.03
"omn",2014,4236057,48201,43.5,2.81
"pak",2014,185044286,4619,40.68571,3.11
"pan",2014,3867535,19637,57.55,2.44
"pcn",2014,,,40,
"per",2014,30973148,11514,50.55,2.39
"phl",2014,99138690,6598,49.6,3.01
"plw",2014,21097,14078,40,
"png",2014,7463577,2510,50.30525,3.73
"pol",2014,38619974,23952,34.5,1.43
"pri",2014,3686517,33649,55.8,1.63
"prk",2014,25026772,1391,30,1.98
"prt",2014,10402343,26055,46.58859,1.31
"pry",2014,6552518,8038,57.7,2.83
"pyf",2014,279781,,40,2.04
"qat",2014,2172065,133563,40,2
"reu",2014,855177,,40,2.2
"rou",2014,19651554,18569,33.40205,1.43
"rus",2014,143429435,23293,40.0111151207,1.6
"rwa",2014,11341544,1485,51.51,4.4
"sau",2014,,52096,43.5,2.59
"shn",2014,,,40,
