geo,geo.name,geo.cat,geo.region,time,pop,gdp_per_cap,gini,u5mr
afg,Afghanistan,country,asi,1830,3448982,625,30.51,472.81
ago,Angola,country,afr,1830,1686390,704,46.08,485.68
alb,Albania,country,eur,1830,457234,685,41.24,375.2
are,United Arab Emirates,country,asi,1830,40153,1116,40,434.46
arg,Argentina,country,ame,1830,686703,1742,42.63,402.19
arm,Armenia,country,eur,1830,453507,535,29.12,356.92
aus,Australia,country,asi,1830,348143,1399,41.31,390.99
aut,Austria,country,eur,1830,3538286,2353,47.59,385.13
aze,Azerbaijan,country,eur,1830,965887,823,40,361.13
bdi,Burundi,country,afr,1830,972428,430,43.69,423.95
bel,Belgium,country,eur,1830,3751571,2488,59.21,315.42
ben,Benin,country,afr,1830,702829,628,47.22,430.46
bfa,Burkina Faso,country,afr,1830,1792717,486,37.5,454.69
bgd,Bangladesh,country,asi,1830,20872777,876,41.83,507.88
bgr,Bulgaria,country,eur,1830,2287551,1147,47.83,355.13
bhr,Bahrain,country,asi,1830,64474,1405,40,439.79
bih,Bosnia and Herzegovina,country,eur,1830,931129,706,40,378.8
blr,Belarus,country,eur,1830,2584900,651,56.57,365.67
bol,Bolivia,country,ame,1830,1185846,941,40,404.69
bra,Brazil,country,ame,1830,5301068,1136,43.7,417.44
btn,Bhutan,country,asi,1830,94472,644,40,451.92
bwa,Botswana,country,afr,1830,121000,418,35.61,397.2
caf,Central African Republic,country,afr,1830,503090,446,45.25,443.79
can,Canada,country,ame,1830,1202146,1651,39,333.47
che,Switzerland,country,eur,1830,2101048,3010,44.34,344.77
chl,Chile,country,ame,1830,969062,986,52.6,417.44
chn,China,country,asi,1830,402373519,986,40.84,417.44
civ,Cote d'Ivoire,country,afr,1830,1165948,916,38.1,427.86
cmr,Cameroon,country,afr,1830,1916391,659,52.85,460.21
cod,"Congo, Dem. Rep.",country,afr,1830,5520718,548,42.12,422.65
cog,"Congo, Rep.",country,afr,1830,338459,626,49.78,408.51
col,Colombia,country,ame,1830,1451312,991,58.94,417.44
com,Comoros,country,afr,1830,61016,718,36.31,416.16
cpv,Cape Verde,country,afr,1830,61014,554,40,394.71
cri,Costa Rica,country,ame,1830,72046,869,40,441.12
cub,Cuba,country,ame,1830,772812,1224,40,371.61
cyp,Cyprus,country,eur,1830,184986,963,40,339.12
cze,Czech Republic,country,eur,1830,5723332,2084,39.46,379.99
deu,Germany,country,eur,1830,28016571,2024,47.42,388.56
dji,Djibouti,country,afr,1830,24698,827,40,445.15
dnk,Denmark,country,eur,1830,1264714,2214,53.25,324.42
dom,Dominican Republic,country,ame,1830,105490,706,40,445.15
dza,Algeria,country,afr,1830,2880355,819,59.51,460.21
ecu,Ecuador,country,ame,1830,591558,566,40,405.96
egy,Egypt,country,afr,1830,4662153,831,59.51,404.69
eri,Eritrea,country,afr,1830,234703,547,40,441.12
esp,Spain,country,eur,1830,13051762,1560,35.9,450.6
est,Estonia,country,eur,1830,366799,1024,48.88,362.15
eth,Ethiopia,country,afr,1830,3407854,526,47.52,447.88
fin,Finland,country,eur,1830,1327905,1360,50.58,362.15
fji,Fiji,country,asi,1830,137074,814,40,498.88
fra,France,country,eur,1830,33174810,1799,57.44,282.91
gab,Gabon,country,afr,1830,172241,392,45.85,435.79
gbr,United Kingdom,country,eur,1830,18533999,3661,54.01,309.38
geo,Georgia,country,eur,1830,1176832,571,29.75,372.65
gha,Ghana,country,afr,1830,1920723,713,53.27,471.38
gin,Guinea,country,afr,1830,1076128,461,32.74,446.51
gmb,Gambia,country,afr,1830,111354,828,40,460.21
gnb,Guinea-Bissau,country,afr,1830,233367,786,49.85,417.44
gnq,Equatorial Guinea,country,afr,1830,83105,370,40,446.51
grc,Greece,country,eur,1830,2537857,1541,49.93,360.97
gtm,Guatemala,country,ame,1830,671855,932,35.3,503.36
guy,Guyana,country,ame,1830,178030,1302,38.23,429.16
hnd,Honduras,country,ame,1830,188905,769,40,393.46
hti,Haiti,country,ame,1830,789634,703,40,486.08
hun,Hungary,country,eur,1830,4464317,1354,42.64,368.01
idn,Indonesia,country,asi,1830,18460171,1012,48.45,443.79
ind,India,country,asi,1830,182214537,1052,34.78,509.39
irl,Ireland,country,eur,1830,5537192,1673,39.6,348.22
irn,Iran,country,asi,1830,6898130,999,59.51,506.38
irq,Iraq,country,asi,1830,1177768,1013,59.51,427.86
isr,Israel,country,asi,1830,209954,883,44.87,447.71
ita,Italy,country,eur,1830,21529667,2471,52.75,453.33
jam,Jamaica,country,ame,1830,400332,1080,39.1,389.77
jor,Jordan,country,asi,1830,226087,1020,40,421.34
jpn,Japan,country,asi,1830,31330455,1094,50.69,363.32
kaz,Kazakhstan,country,asi,1830,2240213,1245,43.32,497.41
ken,Kenya,country,afr,1830,2574000,938,46.31,507.88
kgz,Kyrgyz Republic,country,asi,1830,581987,556,45.95,380.54
khm,Cambodia,country,asi,1830,2137966,920,40,379.99
kor,South Korea,country,asi,1830,9444785,559,32.13,503.36
kwt,Kuwait,country,asi,1830,81280,1228,40,500.35
lao,Lao,country,asi,1830,517587,888,38.41,418.74
lbn,Lebanon,country,asi,1830,357145,1177,59.51,447.88
lbr,Liberia,country,afr,1830,340777,821,40,429.16
lby,Libya,country,afr,1830,565776,1190,40,404.69
lka,Sri Lanka,country,asi,1830,1494084,910,47.95,409.79
lso,Lesotho,country,afr,1830,298233,400,40,407.24
ltu,Lithuania,country,eur,1830,854817,1387,48.88,458.81
lux,Luxembourg,country,eur,1830,135676,1640,40,357.45
lva,Latvia,country,eur,1830,648400,820,48.88,404.69
mar,Morocco,country,afr,1830,2880355,730,59.51,403.44
mda,Moldova,country,eur,1830,782030,658,47.83,375.29
mdg,Madagascar,country,afr,1830,1803292,603,41.01,437.13
mex,Mexico,country,ame,1830,6930661,1353,37.28,487.15
mkd,"Macedonia, FYR",country,eur,1830,428506,751,32.52,392.27
mli,Mali,country,afr,1830,1540940,606,47.16,494.48
mmr,Myanmar,country,asi,1830,3643584,844,30.49,433.13
mne,Montenegro,country,eur,1830,138454,1151,40,375.2
mng,Mongolia,country,asi,1830,628530,604,40,420.04
moz,Mozambique,country,afr,1830,2288209,397,45.93,439.79
mrt,Mauritania,country,afr,1830,399076,555,40,417.44
mus,Mauritius,country,afr,1830,119544,989,40,427.86
mwi,Malawi,country,afr,1830,737000,351,45.71,439.79
mys,Malaysia,country,asi,1830,354816,1021,25.26,435.79
nam,Namibia,country,afr,1830,229000,629,52.61,412.34
ner,Niger,country,afr,1830,1312557,470,43.35,433.13
nga,Nigeria,country,afr,1830,12633330,923,52.3,438.46
nic,Nicaragua,country,ame,1830,258484,1085,40,509.39
